,age,New_Review_Helpfulness,New_Recommendation_Helpfulness,New_Personalized_Recommendation_Frequency,New_Cart_Completion_Frequency,New_Add_to_Cart_Browsing,age_group
0,23,2,2,2,2,2,2
1,23,2,1,2,3,2,2
2,24,0,0,0,2,2,2
3,24,2,1,1,2,1,2
4,22,2,2,2,2,2,2
5,21,2,0,0,1,2,2
6,22,2,1,0,3,2,2
7,21,1,1,0,3,2,2
8,20,2,2,1,2,2,2
9,23,2,2,0,1,2,2
10,22,2,1,0,2,1,2
11,25,2,2,0,2,2,2
12,23,1,0,0,2,1,2
13,24,2,2,0,3,2,2
14,21,2,1,2,3,2,2
15,23,2,1,0,2,1,2
16,16,2,1,1,2,2,1
17,21,2,2,0,2,1,2
18,23,2,1,1,2,2,2
19,25,2,1,0,2,2,2
20,64,2,2,0,3,0,4
21,23,2,1,0,2,2,2
22,21,1,1,0,0,2,2
23,16,2,2,0,2,2,1
24,23,2,1,0,1,1,2
25,24,0,0,2,1,1,2
26,22,2,1,0,2,2,2
27,23,1,2,0,2,2,2
28,23,2,1,1,3,2,2
29,24,2,2,2,2,2,2
30,25,2,1,0,3,2,2
31,23,2,0,0,3,1,2
32,23,1,0,0,0,0,2
33,23,2,2,2,3,2,2
34,23,2,2,2,3,2,2
35,24,2,1,1,1,2,2
36,24,1,2,0,4,2,2
37,23,2,1,1,3,1,2
38,29,2,2,1,3,2,3
39,19,2,2,2,4,2,2
40,26,2,2,2,2,2,3
41,32,2,0,0,4,0,3
42,30,2,0,0,2,2,3
43,22,1,2,0,1,2,2
44,26,0,2,2,2,2,3
45,24,2,2,0,4,2,2
46,23,2,2,2,2,2,2
47,24,1,1,1,1,1,2
48,23,2,1,0,2,2,2
49,24,2,2,0,4,2,2
50,23,2,0,0,1,2,2
51,25,2,1,1,3,2,2
52,24,2,2,0,3,2,2
53,21,2,1,0,1,2,2
54,23,2,1,0,1,1,2
55,26,2,2,0,2,1,3
56,23,2,1,2,2,2,2
57,23,2,0,2,2,2,2
58,40,2,1,0,3,2,3
59,25,1,1,1,2,1,2
60,24,1,1,1,2,2,2
61,23,1,1,0,2,2,2
62,24,2,2,1,2,2,2
63,24,2,1,0,0,1,2
64,24,1,2,1,2,1,2
65,26,2,2,0,3,2,3
66,23,2,1,1,2,2,2
67,23,2,1,0,2,2,2
68,24,2,2,1,2,2,2
69,23,1,1,0,1,1,2
70,24,2,2,2,3,2,2
71,36,0,1,1,3,2,3
72,26,2,2,0,2,2,3
73,31,2,1,0,2,2,3
74,23,2,0,0,3,1,2
75,23,2,2,2,2,2,2
76,30,2,2,2,3,2,3
77,24,2,1,0,2,2,2
78,47,1,0,1,0,1,4
79,54,2,2,2,4,2,4
80,58,0,0,0,2,2,4
81,53,2,2,0,1,0,4
82,23,1,1,0,2,1,2
83,25,1,1,2,0,1,2
84,23,2,1,0,1,1,2
85,32,1,1,1,1,1,3
86,30,2,1,2,3,2,3
87,28,0,0,0,0,0,3
88,20,1,0,0,3,0,2
89,25,1,1,0,2,1,2
90,55,2,2,2,2,2,4
91,24,2,1,0,1,2,2
92,62,1,2,1,2,1,4
93,27,0,0,0,0,0,3
94,34,0,2,1,2,1,3
95,40,1,0,1,3,1,3
96,22,0,0,2,3,1,2
97,34,2,1,0,3,2,3
98,24,2,1,0,2,2,2
99,44,1,2,0,1,0,4
100,31,1,0,1,0,0,3
101,23,1,2,1,1,0,2
102,23,2,2,1,2,2,2
103,22,2,1,0,2,2,2
104,24,2,2,1,3,2,2
105,23,2,2,2,3,2,2
106,25,2,1,2,1,2,2
107,23,0,0,1,2,0,2
108,24,2,2,1,3,2,2
109,24,2,2,2,3,2,2
110,26,2,2,0,2,2,3
111,25,2,1,1,2,2,2
112,26,1,0,0,2,2,3
113,29,2,1,0,2,0,3
114,23,2,2,2,3,2,2
115,30,2,2,2,2,2,3
116,23,2,1,0,2,2,2
117,21,2,1,0,0,2,2
118,23,0,2,0,2,2,2
119,21,1,1,1,4,2,2
120,23,2,1,0,3,2,2
121,27,2,1,1,2,2,3
122,38,1,1,0,3,2,3
123,23,2,0,0,2,2,2
124,38,0,0,0,2,0,3
125,23,1,2,0,1,0,2
126,24,0,0,0,3,0,2
127,25,0,2,2,3,0,2
128,26,2,2,2,3,2,3
129,27,0,0,0,2,0,3
130,29,0,0,2,2,0,3
131,35,0,0,0,2,0,3
132,21,2,1,2,2,2,2
133,36,0,2,0,2,1,3
134,44,0,0,0,3,0,4
135,32,2,2,2,3,2,3
